Index,ISLANDNAME,PLOT,Easting,Northing,OCODES,BRCR,URB_100Z,RUR_100Z,FOR0_100Z,FOR1_100Z,FOR2_100Z,SAV_100Z,SHR_100Z,CR_CL_2Z,CR_CL_3Z,Is_sizeZ,rd_up_100Z,rd_p_100Z
160,Mayne,May-17,481065,5408554,b,1,-0.180973645,0.092242161,-0.158850641,1.193199976,-0.635999983,-0.46421402,-0.202047601,0.731874325,-0.829903641,-0.32776768,-0.56544841,1.519857035
161,Mayne,May-18,481158,5408416,c,0,-0.180973645,0.179973645,0.893514764,0.780399116,-0.635999983,-0.46421402,-0.202047601,0.08859364,0.198163734,-0.32776768,1.478527926,1.546846743
162,Mayne,May-19,479443,5410030,c,0,-0.180973645,0.180618232,1.252221265,0.67400392,-0.613106233,-0.46421402,-0.202047601,0.405486648,1.38776513,-0.32776768,-0.232610538,-0.342724967
163,Mayne,May-20,479404,5410083,b,0,-0.180973645,0.823656647,2.068206754,-0.009738684,-0.609925597,-0.46421402,-0.202047601,-0.241351011,1.846713011,-0.32776768,-0.51715792,-0.342724967
164,Mayne,May-21,479327,5409988,b,0,-0.180973645,-0.409569337,0.487116797,1.322185734,-0.635999983,-0.46421402,-0.202047601,0.619458522,1.936216779,-0.32776768,-0.56544841,-0.342724967
165,Mayne,May-22,479232,5409935,c,0,-0.180973645,-0.413305792,-0.244224744,1.541684891,-0.619811923,-0.46421402,-0.202047601,1.717976603,-0.454517452,-0.32776768,-0.56544841,-0.342724967
166,Mayne,May-23,479039,5409940,b,0,-0.180973645,-0.413305792,-0.244224744,1.472453379,-0.530653245,-0.46421402,-0.202047601,0.730334561,1.668658368,-0.32776768,-0.56544841,-0.342724967
167,Mayne,May-24,478855,5410018,c,1,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.215161689,0.265233249,-0.32776768,-0.56544841,-0.342724967
168,Mayne,May-25,478989,5410158,b,0,-0.180973645,-0.068246933,-0.244224744,1.326145277,-0.635999983,-0.46421402,-0.202047601,0.988193511,1.351219512,-0.32776768,-0.56544841,-0.342724967
169,Mayne,May-26,479121,5410209,c,1,-0.180973645,-0.258997742,-0.244224744,1.452234014,-0.635999983,-0.46421402,-0.202047601,0.679232621,2.279065194,-0.32776768,-0.56544841,-0.342724967
170,Mayne,May-27,479201,5410096,b,0,-0.180973645,-0.413305792,-0.180030379,1.534100982,-0.635999983,-0.46421402,-0.202047601,1.029888674,1.226208353,-0.32776768,-0.56544841,-0.342724967
171,Mayne,May-28,479236,5409989,c,1,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.587553481,-0.344707086,-0.32776768,-0.56544841,-0.342724967
172,Mayne,May-29,479252,5409847,b,0,-0.180973645,-0.413305792,-0.244224744,0.685769445,0.482464887,-0.46421402,-0.202047601,1.379716791,0.314729692,-0.32776768,-0.56544841,-0.342724967
173,Owl (moondance),MOO01,470590,5408275,c,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,1.539033859,-0.202047601,-0.916801807,-0.150285422,-0.404792758,-0.56544841,-0.342724967
174,Owl (moondance),MOO02,470662,5408218,c,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,1.124375382,-0.202047601,-1.114529657,-0.794302384,-0.404792758,-0.56544841,-0.342724967
175,Moresby Island,MOR01,477737,5394335,b,0,-0.180973645,-0.413305792,-0.244224744,0.311082762,0.215353718,-0.46421402,-0.140012317,0.17454156,-0.569774958,-0.384889109,-0.56544841,-0.342724967
176,Moresby,MOR02,477643,5394342,b,0,-0.180973645,-0.413305792,-0.244224744,-0.524348895,1.165807382,-0.46421402,-0.202047601,-0.290598506,-0.402839308,-0.384889109,-0.56544841,-0.342724967
177,Moresby,MOR03,477535,5394467,b,0,-0.180973645,-0.413305792,-0.244224744,0.275004191,0.59035807,-0.037973737,-0.202047601,-0.86118583,5.102404765,-0.384889109,-0.56544841,-0.342724967
178,Moresby,MOR04,477566,5394644,b,0,-0.180973645,-0.413305792,-0.244224744,0.628984868,-0.28109625,0.995383659,-0.202047601,0.183206124,1.904663188,-0.384889109,-0.56544841,-0.342724967
179,Moresby,MOR05,477465,5394660,b,0,-0.180973645,-0.413305792,-0.244224744,-0.064963775,-0.299826604,2.587284455,-0.202047601,-0.354677217,0.146533946,-0.384889109,-0.56544841,-0.342724967
180,Moresby,MOR06,477299,5394726,b,0,-0.180973645,-0.413305792,-0.244224744,-0.481505642,-0.635999983,4.109555907,-0.202047601,-0.288968678,-0.861400343,-0.384889109,-0.56544841,-0.342724967
181,Moresby,MOR07,477116,5394731,b,0,-0.180973645,-0.413305792,-0.244224744,0.052386497,-0.635999983,2.910125877,-0.202047601,-0.231946405,-0.774445211,-0.384889109,-0.56544841,-0.342724967
182,Moresby,MOR08,477147,5394873,b,0,-0.180973645,-0.413305792,-0.244224744,-1.003238505,0.623111031,3.085065206,-0.202047601,0.451510296,0.015429955,-0.384889109,-0.56544841,-0.342724967
183,Moresby,MOR09,477293,5394953,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,1.817215517,1.02383549,-0.202047601,1.272450897,-0.642089657,-0.384889109,-0.56544841,-0.342724967
184,Moresby,MOR10,477372,5394806,b,1,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.423200342,4.932319661,-0.202047601,0.253905062,-0.829727284,-0.384889109,-0.56544841,-0.342724967
185,Moresby,MOR11,477888,5396455,b,0,-0.180973645,-0.413305792,-0.244224744,0.514170237,-0.635999983,-0.46421402,-0.202047601,-0.621505646,-0.053633526,-0.384889109,-0.56544841,-0.342724967
186,Moresby,MOR12,477822,5396528,b,0,-0.180973645,-0.413305792,-0.244224744,0.80001816,-0.635999983,-0.013294292,-0.202047601,-0.321216917,0.849488112,-0.384889109,-0.56544841,-0.342724967
187,Moresby,MOR13,477736,5396607,b,1,-0.180973645,-0.413305792,-0.244224744,0.01315141,-0.635999983,1.274108991,-0.202047601,-0.171967221,-0.497915373,-0.384889109,-0.56544841,-0.342724967
188,Moresby,MOR14,477679,5396456,b,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.055738828,2.431852501,-0.384889109,-0.56544841,-0.342724967
189,Moresby,MOR15,477532,5396574,b,0,-0.180973645,-0.380153195,-0.244224744,0.884787422,-0.635999983,-0.46421402,-0.202047601,-0.532806985,0.884765101,-0.384889109,-0.56544841,-0.342724967
190,Moresby,MOR16,477427,5396639,b,0,-0.180973645,0.833935554,-0.244224744,0.553838784,-0.635999983,-0.46421402,-0.202047601,-0.57457485,-0.158255598,-0.384889109,-0.56544841,-0.342724967
191,Moresby,MOR17,477268,5396792,d,0,-0.180973645,3.443754934,-0.244224744,-1.013014826,-0.61378214,-0.46421402,-0.202047601,-1.492586784,-0.861400343,-0.384889109,-0.56544841,-0.342724967
192,Moresby,MOR18,477740,5396374,b,0,-0.180973645,-0.413305792,-0.244224744,1.113911179,-0.635999983,-0.46421402,-0.202047601,-0.039103698,0.36769922,-0.384889109,-0.56544841,-0.342724967
193,Moresby,MOR19,477639,5396345,b,1,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.521655829,1.532701728,-0.384889109,-0.56544841,-0.342724967
194,Moresby,MOR20,477493,5396244,b,0,-0.180973645,-0.413305792,-0.244224744,1.55425474,-0.635999983,-0.46421402,-0.202047601,-0.279711647,3.470111575,-0.384889109,-0.56544841,-0.342724967
