species,crown_class,age,dbh,height,volume
5,2,72,27.7,22.86,0.5599
5,2,94,40.9,26.82,1.4589
5,2,55,15.7,18.59,0.1257
5,2,66,21.6,18.59,0.2626
5,2,73,26.2,19.2,0.4121
5,1,74,28.4,19.51,0.4927
5,2,68,26.9,19.51,0.4366
5,1,76,31.2,21.03,0.6426
5,1,71,26.2,22.25,0.4712
5,3,57,16.3,17.68,0.1294
5,2,74,23.1,20.42,0.297
5,2,69,28.2,20.42,0.4616
5,1,108,35.1,25.91,1.0873
5,1,105,48.5,26.52,1.9684
5,1,108,43.4,25.91,1.5557
5,1,102,37.1,26.82,1.1524
5,1,95,29,24.08,0.7099
5,2,95,20.3,20.42,0.2396
5,1,103,38.4,25.91,1.2446
5,2,96,22.1,22.86,0.3735
5,4,86,13,12.5,0.0351
5,2,96,29.2,21.03,0.6449
5,2,96,32.8,22.86,0.7493
5,2,132,29.5,23.77,0.5909
5,1,96,32.3,21.95,0.7464
5,2,91,26.7,21.64,0.4345
5,1,89,22.1,17.68,0.2793
5,3,124,20.1,20.42,0.2139
5,1,103,25.1,16.15,0.2588
5,1,97,27.2,19.2,0.4071
5,1,131,33.5,25.6,0.975
5,3,121,20.8,22.86,0.2946
5,3,34,17.5,16.46,0.1348
5,1,122,43.7,26.52,1.771
5,3,27,14,14.33,0.0474
5,2,114,45.2,25.3,1.8212
5,2,51,18,15.24,0.148
5,2,50,14.2,14.94,0.0845
5,3,52,16.3,15.85,0.0714
5,1,121,39.1,23.16,1.263
5,1,116,34.3,19.51,0.6497
5,2,55,19.6,16.46,0.1664
5,2,35,15.7,12.3,0.0637
5,2,40,15.8,9.8,0.0624
5,2,39,12.5,15.8,0.0402
5,1,60,39.9,22.3,1.1243
5,1,60,39.9,22,1.1089
5,1,67,37.6,23,1.0854
5,2,59,32.3,22.9,0.7649
5,2,72,28.9,26,0.6951
5,2,72,28.1,27,0.6705
5,2,74,23.8,24.4,0.4139
5,2,40,15,16.3,0.1032
5,2,88,33.3,21.1,0.7955
5,2,79,32.4,20.6,0.6515
5,2,76,25.5,20.8,0.4335
5,2,76,24.5,18.7,0.3462
5,2,65,19.6,18.7,0.2096
5,2,56,23.7,19.1,0.3127
5,2,39,18.2,17.8,0.1539
5,2,32,20.1,16.2,0.186
5,2,33,18.6,16.1,0.1735
5,2,24,13.4,14.3,0.0515
5,2,53,23.7,20.4,0.3319
5,2,55,26.1,21.2,0.4221
5,2,53,25.6,19.3,0.3623
5,2,53,17.8,17.8,0.152
5,1,79,20.2,22.7,0.2549
5,1,94,26.8,23.6,0.5771
5,2,39,14,15.9,0.077
5,2,42,14.6,17.1,0.1029
5,2,39,13.5,14.5,0.062
5,2,37,14.9,15.2,0.0893
5,1,34,12.8,15.5,0.0361
5,1,40,14.6,16.7,0.0848
5,2,34,14.5,16.2,0.0807
5,2,33,13.5,14.1,0.0627
5,2,36,16.4,17.4,0.1151
5,2,38,16.5,19.8,0.1488
5,2,38,16.1,19.4,0.1348
5,2,33,12.8,16.8,0.0466
5,2,33,14,16.8,0.0786
5,2,37,13.7,16,0.0732
5,2,48,32,21.5,0.5837
5,2,55,31,21.2,0.5359
5,2,54,32.4,20.1,0.5207
5,2,40,15.8,14.7,0.1242
5,2,35,15.4,15.6,0.1145
5,2,79,25.9,24.5,0.5247
5,2,68,26.6,21.8,0.4519
5,2,76,39.6,23.5,1.1238
5,2,78,29.2,22.2,0.5102
5,2,78,24.6,23.1,0.4304
5,2,78,31.1,21.8,0.5877
5,2,65,28.5,23.2,0.4892
5,2,78,26.5,24,0.4867
5,2,67,24.9,23.5,0.4525
5,2,75,32.8,24.9,0.8484
5,2,73,32.3,24.7,0.7663
5,2,78,51.1,26.7,2.1528
5,2,75,34,23.6,0.8368
5,2,76,37,24.2,1.0152
5,2,74,40.3,25.5,1.0535
