BRCR,RUR_100Z,CR_CL_2Z,rd_up_100Z
0,0.464874197,-0.76856994,-0.56544841
0,0.049306906,0.95334102,1.566315751
0,-0.413305792,0.025096545,-0.56544841
0,-0.413305792,-1.139661777,-0.56544841
0,2.662254109,-1.119172822,-0.56544841
0,0.177529885,0.543778952,-0.56544841
0,0.589008632,-0.345793462,-0.56544841
0,0.985379142,-0.656991838,-0.56544841
0,1.129327575,-0.676766793,-0.56544841
0,1.739247533,-0.4196978,-0.56544841
0,2.638258153,-0.874012857,-0.56544841
0,0.989183499,-0.818006243,0.091328116
0,2.327524304,-1.244527418,-0.56544841
0,0.287850453,-0.038289869,-0.56544841
0,-0.285153042,-0.079021459,-0.258536502
1,-0.038761066,0.128953039,0.19902886
2,0.092242161,0.731874325,-0.56544841
0,0.179973645,0.08859364,1.478527926
0,0.180618232,0.405486648,-0.232610538
0,0.823656647,-0.241351011,-0.51715792
0,-0.409569337,0.619458522,-0.56544841
0,-0.413305792,1.717976603,-0.56544841
0,-0.413305792,0.730334561,-0.56544841
1,-0.413305792,1.215161689,-0.56544841
0,-0.068246933,0.988193511,-0.56544841
1,-0.258997742,0.679232621,-0.56544841
0,-0.413305792,1.029888674,-0.56544841
1,-0.413305792,1.587553481,-0.56544841
0,-0.413305792,1.379716791,-0.56544841
0,-0.413305792,1.030189248,-0.56544841
0,-0.413305792,-0.916801807,-0.56544841
0,-0.413305792,-1.114529657,-0.56544841
0,-0.413305792,0.17454156,-0.56544841
0,-0.413305792,-0.290598506,-0.56544841
0,-0.413305792,-0.86118583,-0.56544841
0,-0.413305792,0.183206124,-0.56544841
0,-0.413305792,-0.354677217,-0.56544841
